Region,Year,hpi,hpi_growth,hpi_growth_pct,Date,Proxy_or_Full
"Denver-Aurora-Centennial, CO Metro Area",2008,190.2425,-0.01868568333634231,-1.868568333634231,2008-01-01,Full
"Denver-Aurora-Centennial, CO Metro Area",2009,189.115,-0.005926646254123015,-0.5926646254123015,2009-01-01,Full
"Denver-Aurora-Centennial, CO Metro Area",2010,185.825,-0.017396822039499882,-1.7396822039499882,2010-01-01,Full
"Denver-Aurora-Centennial, CO Metro Area",2011,181.4775,-0.0233956679671734,-2.3395667967173397,2011-01-01,Full
"Denver-Aurora-Centennial, CO Metro Area",2012,186.15,0.025746993428937548,2.574699342893755,2012-01-01,Full
"Denver-Aurora-Centennial, CO Metro Area",2013,201.35,0.08165457964007515,8.165457964007516,2013-01-01,Full
"Denver-Aurora-Centennial, CO Metro Area",2014,221.5025,0.10008691333498884,10.008691333498884,2014-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2005,161.765,0.04658234399767081,4.658234399767081,2005-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2006,171.1375,0.057938985565480806,5.793898556548081,2006-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2007,179.29,0.04763713388357317,4.763713388357317,2007-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2008,184.165,0.027190585085615483,2.7190585085615484,2008-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2009,185.47750000000002,0.007126761328156971,0.7126761328156971,2009-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2010,183.6525,-0.009839468399132061,-0.9839468399132061,2010-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2011,181.0925,-0.013939369189093545,-1.3939369189093544,2011-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2012,186.535,0.030053701837458733,3.0053701837458733,2012-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2013,197.75,0.06012276516471442,6.012276516471442,2013-01-01,Full
"Houston-Pasadena-The Woodlands, TX Metro Area",2014,218.665,0.1057648546144121,10.576485461441209,2014-01-01,Full
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2005,289.0125,0.24299768829632817,24.299768829632818,2005-01-01,Proxy
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2006,335.17,0.15970762510272057,15.970762510272058,2006-01-01,Proxy
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2007,330.24,-0.014708953665304194,-1.4708953665304194,2007-01-01,Proxy
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2008,269.1225,-0.185069949127907,-18.5069949127907,2008-01-01,Proxy
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2009,234.005,-0.13048890375200886,-13.048890375200886,2009-01-01,Proxy
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2010,230.9075,-0.013236896647507518,-1.3236896647507517,2010-01-01,Proxy
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2011,221.5125,-0.04068728819982032,-4.068728819982033,2011-01-01,Proxy
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2012,221.1025,-0.0018509113481180368,-0.18509113481180367,2012-01-01,Proxy
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2013,244.945,0.10783460159880599,10.7834601598806,2013-01-01,Proxy
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2014,272.7825,0.11364796178734016,11.364796178734016,2014-01-01,Proxy
"New York-Newark-Jersey City, NY-NJ Metro Area",2005,245.3125,0.15774880538021363,15.774880538021364,2005-01-01,Proxy
"New York-Newark-Jersey City, NY-NJ Metro Area",2006,266.895,0.08797961783439483,8.797961783439483,2006-01-01,Proxy
"New York-Newark-Jersey City, NY-NJ Metro Area",2007,268.77750000000003,0.007053335581408607,0.7053335581408607,2007-01-01,Proxy
"New York-Newark-Jersey City, NY-NJ Metro Area",2008,256.2075,-0.046767307531322556,-4.676730753132255,2008-01-01,Proxy
"New York-Newark-Jersey City, NY-NJ Metro Area",2009,240.0925,-0.06289823678073429,-6.28982367807343,2009-01-01,Proxy
