Region,Proxy_or_Full_MSA,Year,hpi,hpi_growth,hpi_growth_pct,Date
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2008,193.15,-0.055501222,-5.550122249,1/1/2008
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2009,175.5275,-0.09123738,-9.123738027,1/1/2009
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2010,162.8,-0.072510006,-7.251000555,1/1/2010
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2011,152.36,-0.064127764,-6.412776413,1/1/2011
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2012,147.8775,-0.029420452,-2.942045156,1/1/2012
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2013,149.84,0.01327112,1.327111968,1/1/2013
"Chicago-Naperville-Elgin, IL-IN Metro Area",Proxy,2014,156.855,0.046816604,4.681660438,1/1/2014
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2005,153.94,NA,NA,1/1/2005
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2006,158.5775,0.030125374,3.012537352,1/1/2006
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2007,163.185,0.029055194,2.905519383,1/1/2007
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2008,164.8475,0.010187824,1.018782364,1/1/2008
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2009,164.565,-0.001713705,-0.171370509,1/1/2009
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2010,162.5725,-0.012107678,-1.210767782,1/1/2010
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2011,159.2875,-0.020206369,-2.020636947,1/1/2011
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2012,161.095,0.011347406,1.134740642,1/1/2012
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2013,169.75,0.053726062,5.372606226,1/1/2013
"Dallas-Fort Worth-Arlington, TX Metro Area",Proxy,2014,184.5575,0.087231222,8.723122239,1/1/2014
"Denver-Aurora-Centennial, CO Metro Area",Full,2005,194.1875,NA,NA,1/1/2005
"Denver-Aurora-Centennial, CO Metro Area",Full,2006,196.1325,0.010016093,1.001609269,1/1/2006
"Denver-Aurora-Centennial, CO Metro Area",Full,2007,193.865,-0.011561062,-1.156106204,1/1/2007
"Denver-Aurora-Centennial, CO Metro Area",Full,2008,190.2425,-0.018685683,-1.868568334,1/1/2008
"Denver-Aurora-Centennial, CO Metro Area",Full,2009,189.115,-0.005926646,-0.592664625,1/1/2009
"Denver-Aurora-Centennial, CO Metro Area",Full,2010,185.825,-0.017396822,-1.739682204,1/1/2010
"Denver-Aurora-Centennial, CO Metro Area",Full,2011,181.4775,-0.023395668,-2.339566797,1/1/2011
"Denver-Aurora-Centennial, CO Metro Area",Full,2012,186.15,0.025746993,2.574699343,1/1/2012
"Denver-Aurora-Centennial, CO Metro Area",Full,2013,201.35,0.08165458,8.165457964,1/1/2013
"Denver-Aurora-Centennial, CO Metro Area",Full,2014,221.5025,0.100086913,10.00869133,1/1/2014
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2005,161.765,NA,NA,1/1/2005
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2006,171.1375,0.057938986,5.793898557,1/1/2006
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2007,179.29,0.047637134,4.763713388,1/1/2007
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2008,184.165,0.027190585,2.719058509,1/1/2008
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2009,185.4775,0.007126761,0.712676133,1/1/2009
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2010,183.6525,-0.009839468,-0.98394684,1/1/2010
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2011,181.0925,-0.013939369,-1.393936919,1/1/2011
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2012,186.535,0.030053702,3.005370184,1/1/2012
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2013,197.75,0.060122765,6.012276516,1/1/2013
"Houston-Pasadena-The Woodlands, TX Metro Area",Full,2014,218.665,0.105764855,10.57648546,1/1/2014
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2005,289.0125,NA,NA,1/1/2005
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2006,335.17,0.159707625,15.97076251,1/1/2006
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2007,330.24,-0.014708954,-1.470895367,1/1/2007
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2008,269.1225,-0.185069949,-18.50699491,1/1/2008
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2009,234.005,-0.130488904,-13.04889038,1/1/2009
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2010,230.9075,-0.013236897,-1.323689665,1/1/2010
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2011,221.5125,-0.040687288,-4.06872882,1/1/2011
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2012,221.1025,-0.001850911,-0.185091135,1/1/2012
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2013,244.945,0.107834602,10.78346016,1/1/2013
"Los Angeles-Long Beach-Anaheim, CA Metro Area",Proxy,2014,272.7825,0.113647962,11.36479618,1/1/2014
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2005,245.3125,NA,NA,1/1/2005
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2006,266.895,0.087979618,8.797961783,1/1/2006
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2007,268.7775,0.007053336,0.705333558,1/1/2007
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2008,256.2075,-0.046767308,-4.676730753,1/1/2008
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2009,240.0925,-0.062898237,-6.289823678,1/1/2009
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2010,231.8925,-0.034153503,-3.415350334,1/1/2010
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2011,226.335,-0.023965846,-2.396584624,1/1/2011
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2012,222.965,-0.014889434,-1.48894338,1/1/2012
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2013,224.96,0.008947593,0.894759267,1/1/2013
"New York-Newark-Jersey City, NY-NJ Metro Area",Proxy,2014,231.62,0.029605263,2.960526316,1/1/2014
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2005,226.0225,NA,NA,1/1/2005
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2006,272.855,0.207202823,20.72028227,1/1/2006
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2007,273.235,0.001392681,0.139268109,1/1/2007
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2008,230.0325,-0.15811481,-15.81148096,1/1/2008
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2009,190.8225,-0.170454175,-17.0454175,1/1/2009
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2010,164.395,-0.138492578,-13.84925782,1/1/2010
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2011,149.4175,-0.091106785,-9.110678549,1/1/2011
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2012,146.64,-0.018588853,-1.858885338,1/1/2012
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2013,161.205,0.099324877,9.932487725,1/1/2013
"Orlando-Kissimmee-Sanford, FL Metro Area",Full,2014,178.28,0.105921032,10.59210322,1/1/2014
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2005,239.7575,NA,NA,1/1/2005
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2006,288.4125,0.202934215,20.29342148,1/1/2006
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2007,283.5125,-0.016989555,-1.698955489,1/1/2007
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2008,234.8325,-0.171703188,-17.17031877,1/1/2008
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2009,188.765,-0.196171739,-19.61717394,1/1/2009
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2010,164.8525,-0.126678675,-12.66786745,1/1/2010
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2011,146.8925,-0.108945876,-10.89458759,1/1/2011
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2012,158.4875,0.078935276,7.89352758,1/1/2012
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2013,186.8225,0.178783816,17.87838158,1/1/2013
"Phoenix-Mesa-Chandler, AZ Metro Area",Full,2014,206.975,0.107869769,10.78697694,1/1/2014
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2005,287.47,NA,NA,1/1/2005
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2006,328.0225,0.141066894,14.10668939,1/1/2006
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2007,315.64,-0.037748935,-3.774893491,1/1/2007
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2008,226.7725,-0.281547016,-28.15470156,1/1/2008
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2009,181.2175,-0.200884146,-20.0884146,1/1/2009
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2010,175.915,-0.029260419,-2.926041911,1/1/2010
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2011,167.4275,-0.048247733,-4.824773328,1/1/2011
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2012,166.985,-0.002642935,-0.2642935,1/1/2012
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2013,193.6725,0.159819744,15.98197443,1/1/2013
"Riverside-San Bernardino-Ontario, CA Metro Area",Full,2014,225.565,0.164672321,16.46723205,1/1/2014
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2005,287.47,NA,NA,1/1/2005
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2006,328.0225,0.141066894,14.10668939,1/1/2006
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2007,315.64,-0.037748935,-3.774893491,1/1/2007
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2008,226.7725,-0.281547016,-28.15470156,1/1/2008
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2009,181.2175,-0.200884146,-20.0884146,1/1/2009
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2010,175.915,-0.029260419,-2.926041911,1/1/2010
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2011,167.4275,-0.048247733,-4.824773328,1/1/2011
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2012,166.985,-0.002642935,-0.2642935,1/1/2012
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2013,193.6725,0.159819744,15.98197443,1/1/2013
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2014,225.565,0.164672321,16.46723205,1/1/2014
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2005,286.385,NA,NA,1/1/2005
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2006,307.84,0.074916633,7.49166332,1/1/2006
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2007,304.7575,-0.010013319,-1.001331861,1/1/2007
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2008,277.7425,-0.08864425,-8.864424994,1/1/2008
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2009,253.7175,-0.086500986,-8.650098563,1/1/2009
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2010,249.16,-0.017962892,-1.79628918,1/1/2010
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2011,240.8875,-0.033201557,-3.320155723,1/1/2011
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2012,247.4325,0.02717036,2.717035961,1/1/2012
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2013,281.3775,0.13718893,13.71889303,1/1/2013
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2014,318.255,0.131060586,13.10605859,1/1/2014
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2005,216.91,NA,NA,1/1/2005
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2006,251.42,0.159098244,15.90982435,1/1/2006
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2007,270.7025,0.076694376,7.669437594,1/1/2007
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2008,260.905,-0.036192869,-3.619286855,1/1/2008
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2009,235.4075,-0.097727142,-9.772714206,1/1/2009
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2010,220.18,-0.064685705,-6.468570458,1/1/2010
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2011,206.7375,-0.061052321,-6.105232083,1/1/2011
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2012,206.87,0.000641,0.064090937,1/1/2012
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2013,223.45,0.080146952,8.014695219,1/1/2013
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2014,244,0.091966883,9.196688297,1/1/2014
USA,Full,2005,348.5225,NA,NA,1/1/2005
USA,Full,2006,373.4975,0.071659649,7.165964895,1/1/2006
USA,Full,2007,377.6425,0.011097799,1.109779851,1/1/2007
USA,Full,2008,358.22,-0.051430917,-5.143091681,1/1/2008
USA,Full,2009,338.3375,-0.055503601,-5.550360114,1/1/2009
USA,Full,2010,324.5225,-0.040832009,-4.083200946,1/1/2010
USA,Full,2011,311.96,-0.038710721,-3.871072114,1/1/2011
USA,Full,2012,311.1225,-0.002684639,-0.268463906,1/1/2012
USA,Full,2013,322.7475,0.037364704,3.736470361,1/1/2013
USA,Full,2014,338.765,0.04962858,4.962857962,1/1/2014
